Rate,Weight,Time,ell,p,i,N
0.01,0.004975124378109453,3.612627064766178e-05,7.23834508e-06,8.74568406e-08,4.37146576e-08,0.00496999811
0.011,0.005494505494505495,4.375817061962201e-05,9.71831164e-08,1.35441122e-09,5.110104e-10,0.00549440816
0.012,0.005952380952380952,5.2018045849e-05,6.39150275e-06,1.09354067e-07,5.44139308e-08,0.0059495259
0.013,0.006493506493506494,6.1018172222187857e-05,6.55307762e-06,3.08625743e-07,1.51146167e-07,0.0064934896
0.014,0.006944444444444444,7.079058934457144e-05,8.15180219e-06,4.16353053e-07,2.08172921e-07,0.00694445206
0.015,0.007407407407407408,8.126729020838906e-05,5.5714367e-06,2.76548182e-07,1.07634461e-07,0.00699244614
0.016,0.007874015748031496,9.25503438878269e-05,1.73157848e-05,4.7545675e-07,2.37509226e-07,0.00787030154
0.017,0.008403361344537815,0.00010434228460851087,7.4447318e-06,5.88480067e-07,2.93101643e-07,0.00840336908
0.018,0.008928571428571428,0.00011696722282841462,6.83452465e-06,8.97832541e-07,4.22978923e-07,0.00890214286
0.019,0.009345794392523364,0.00013034447968995105,8.60201765e-06,8.1844601e-07,4.06203937e-07,0.00934580185
0.02,0.009900990099009901,0.0001444107954786918,5.20559019e-06,6.53936011e-07,3.00480448e-07,0.00986371117
0.021,0.010416666666666666,0.00015921476196880855,9.17349665e-06,1.16814547e-06,5.43319976e-07,0.0103631374
0.022,0.010869565217391304,0.00017473705894632618,7.62438914e-06,1.01389184e-06,4.81490342e-07,0.0108053129
0.023,0.011363636363636364,0.00019098752073141596,1.03527559e-05,1.42366442e-06,6.65589545e-07,0.0113182497
0.024,0.011904761904761904,0.00020797612806015606,1.27752125e-05,1.77827547e-06,8.56421381e-07,0.0119047619
0.025,0.012345679012345678,0.0002256793276203247,1.22989114e-05,1.68857475e-06,7.90710198e-07,0.012301647
0.026,0.01282051282051282,0.00024411024082405288,1.4045776e-05,1.959702e-06,9.14431935e-07,0.0127867491
0.027,0.013333333333333334,0.00026328454272268913,1.28227914e-05,1.78789409e-06,8.36226137e-07,0.0133040104
0.028,0.013888888888888888,0.00028314174821494263,1.63933114e-05,2.32617698e-06,1.11404538e-06,0.0138840857
0.029,0.014285714285714285,0.0003037660290238058,1.85511173e-05,2.67452025e-06,1.24381788e-06,0.0142453685
0.03,0.014705882352941176,0.0003250942658010377,2.1295104e-05,3.09434704e-06,1.41041866e-06,0.0146830578
0.031,0.015384615384615385,0.0003471458897037577,2.24666573e-05,3.28962708e-06,1.58274577e-06,0.0153846114
0.032,0.015873015873015872,0.0003699360251324312,2.35202104e-05,3.45020813e-06,1.65247575e-06,0.0158730081
0.033,0.01639344262295082,0.0003934486690077793,2.42597843e-05,3.55672529e-06,1.71551447e-06,0.0163934376
0.034,0.016666666666666666,0.00041770543808720045,2.70369238e-05,3.99695659e-06,1.82331328e-06,0.0166666625
0.035,0.017241379310344827,0.00044269821712279923,2.83456456e-05,4.19716239e-06,1.94722589e-06,0.0172413677
0.036,0.017857142857142856,0.00046837647425677773,3.30888608e-05,4.92449122e-06,2.3692367e-06,0.0178571359
0.037,0.01818181818181818,0.0004948298578650454,3.54979103e-05,5.35911748e-06,2.47775861e-06,0.0181818131
0.038,0.018518518518518517,0.0005219434327879487,3.63851656e-05,5.49804692e-06,2.45115318e-06,0.0185185157
0.039,0.019230769230769232,0.0005498772639373097,3.9653801e-05,6.04435316e-06,2.83070886e-06,0.0192307665
0.04,0.0196078431372549,0.0005784991519540944,4.2733774e-05,6.54873071e-06,2.98881996e-06,0.0196078424
0.041,0.02,0.0006078224700941076,4.53800724e-05,6.98143928e-06,3.11895624e-06,0.019999998
0.042,0.020833333333333332,0.0006378947928650469,5.04188636e-05,7.84903735e-06,3.71600817e-06,0.0208333333
0.043,0.02127659574468085,0.0006687188985308685,5.35570564e-05,8.35177202e-06,3.98179486e-06,0.0212765912
0.044,0.021739130434782608,0.0007002749583468917,5.69269346e-05,8.9222171e-06,4.2080203e-06,0.0217391264
0.045,0.022222222222222223,0.0007325859737040311,5.26635894e-05,8.14805974e-06,3.8436162e-06,0.0222222212
0.046,0.022727272727272728,0.0007655706920188446,6.18761232e-05,9.63616134e-06,4.52235743e-06,0.0227272727
0.047,0.023255813953488372,0.0007992844756217501,6.51372664e-05,1.02681307e-05,4.80782537e-06,0.023255814
0.048,0.023255813953488372,0.0008336947906470676,6.77491635e-05,1.07261843e-05,4.7127953e-06,0.023255814
0.049,0.023809523809523808,0.0008689558012463917,7.27338581e-05,1.15881854e-05,5.07882006e-06,0.0238095243
0.05,0.024390243902439025,0.0009049430573064398,7.77707887e-05,1.24951838e-05,5.57512787e-06,0.024390244
0.051,0.025,0.0009416471981164173,7.97692678e-05,1.27676218e-05,5.82227983e-06,0.025
0.052,0.02564102564102564,0.0009790299771643381,8.74788449e-05,1.41057682e-05,6.69228115e-06,0.025641021
0.053,0.02564102564102564,0.001017075949615689,9.14670906e-05,1.48520651e-05,6.35168897e-06,0.0256410256
0.054,0.02631578947368421,0.0010560735983734999,9.29240341e-05,1.50901414e-05,6.68451225e-06,0.026315789
0.055,0.02702702702702703,0.0010956742065707913,9.71962948e-05,1.58790672e-05,7.30016675e-06,0.027027027
0.056,0.02702702702702703,0.0011358764330626255,0.000103749301,1.70304788e-05,7.34669864e-06,0.027027027
0.057,0.027777777777777776,0.0011771502038422214,0.000110786401,1.83268102e-05,8.13076086e-06,0.0277777757
0.058,0.02857142857142857,0.0012188919237476371,0.000110652664,1.82818378e-05,8.51558306e-06,0.0285714286
0.059,0.02857142857142857,0.0012614865895502708,0.000113785521,1.87321291e-05,8.06373597e-06,0.0285714289
0.06,0.029411764705882353,0.0013048367014885979,0.00012493659,2.08827912e-05,9.52950135e-06,0.0294117647
0.061,0.029411764705882353,0.001348724488290323,0.000127057449,2.11294277e-05,8.98104503e-06,0.0294117645
0.062,0.030303030303030304,0.0013937013854776184,0.000134434089,2.25536341e-05,1.00512157e-05,0.0303030303
0.063,0.030303030303030304,0.0014389559010154441,0.000137892737,2.31154469e-05,9.57950326e-06,0.0303030261
0.064,0.03125,0.0014854933567642514,0.000143019634,2.41176033e-05,1.08385108e-05,0.0312499943
