Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.01,0.004901960784313725,3.5851491848747446e-05,7.46521463e-06,1.19332566e-06,4.283253805e-07,2.1416687478958e-07,7.62690075e-07,5.902810715e-07,2.9514405209861e-07,0.00230286069
0.011,0.005376344086021506,4.309989411740746e-05,5.8145695e-06,8.72218986e-07,3.167481675e-07,1.59140061047e-07,5.17579393e-07,4.359816495e-07,2.1799612010452e-07,0.00469965881
0.012,0.0058823529411764705,5.1260952615344294e-05,5.84985113e-06,8.68675895e-07,1.409638245e-07,7.0482070751667e-08,7.62139286e-07,6.13014331e-07,3.065071935872311e-07,0.00579347703
0.013,0.006329113924050633,6.0233853767100126e-05,6.39390262e-06,9.38523095e-07,3.85646766e-07,1.92823383e-07,7.00788379e-07,4.618350375e-07,2.3091751875e-07,0.00617693315
0.014,0.00684931506849315,7.01187188620044e-05,9.93602566e-06,1.53762225e-06,8.978980255e-07,4.6470508245e-07,6.91937593e-07,4.692403885e-07,2.34620195140005e-07,0.00328925889
0.015,0.007352941176470588,8.062834512414559e-05,2.34146047e-05,4.41522351e-06,7.164981430000001e-08,3.582501431453501e-08,4.32981062e-06,3.5091113099999997e-06,1.75560197125e-06,0.00735178198
0.016,0.007751937984496124,9.137228074359769e-05,2.20229965e-05,3.7375857e-06,2.875700069e-06,1.44394769557e-06,3.24621362e-07,2.93078129e-07,1.470642279e-07,0.00285029754
0.017,0.008264462809917356,0.00010385284620539086,8.23881628e-06,1.35798197e-06,1.1644260302143688e-06,5.944503573071844e-07,9.59571262e-13,1.4512296031e-11,9.6692951355e-12,0.00710803565
0.018,0.008771929824561403,0.00011500971316208102,1.61648925e-05,2.96366322e-06,6.686654040000001e-07,3.5691025670000006e-07,2.4775086e-06,1.747661069e-06,8.821954671299999e-07,0.00877019559
0.019,0.009174311926605505,0.0001284849775461003,2.42435108e-05,3.71132883e-06,1.3486305150000001e-06,7.386370370000001e-07,3.71132882e-06,2.9225655899999997e-06,1.4612828066774211e-06,0.00492356206
0.02,0.00980392156862745,0.00014133398419568277,2.3424779e-05,3.79618994e-06,3.788203470000001e-07,1.8942468844880006e-07,3.35137472e-06,2.88667178e-06,1.4755838275e-06,0.00966705846
0.021,0.010309278350515464,0.00015581856096016247,3.31377082e-05,5.61584305e-06,2.62400703e-06,1.3407798453e-06,2.76431793e-06,2.181728778e-06,1.1038783648999998e-06,0.0082492373
0.022,0.01098901098901099,0.00017075532819994322,4.18744292e-05,7.280593e-06,1.6935576600000001e-06,8.493705224500001e-07,5.97012262e-06,4.5718349700000004e-06,2.3367060887000004e-06,0.0103096845
0.023,0.011363636363636364,0.00018654607956994918,3.42069513e-05,5.84610715e-06,6.430657989999997e-07,3.268138559299999e-07,5.38870745e-06,4.347471675e-06,2.1756613823800002e-06,0.0113623271
