Rate,Weight,Time,ell,p,p_x,p_y,N
0.01,0.004940000000000001,3.5675646831347185e-05,3.26582187e-06,4.83398592e-07,4.12018155e-07,2.060090775128473e-07,0.004940000000000001
0.011,0.005426,4.307414058422859e-05,6.43906692e-06,9.96468346e-07,8.51520915e-07,4.257604575e-07,0.005426
0.012,0.005912000000000001,5.1269144456718234e-05,5.549229e-06,8.45180161e-07,7.206002435e-07,3.60764520149e-07,0.005912000000000001
0.013,0.006398,6.0049323922311595e-05,8.65813407e-06,1.36973339e-06,1.163886306e-06,5.819431540275279e-07,0.006398
0.014,0.006884,6.956279054872212e-05,1.15420717e-05,1.8462456e-06,1.575675217e-06,7.878995500615e-07,0.006884
0.015,0.00737,7.976272718661018e-05,1.47257691e-05,2.36896316e-06,2.0318747619999997e-06,1.0298213763999998e-06,0.00737
0.016,0.007856,9.071083198478807e-05,1.41543877e-05,2.28794187e-06,1.948412373e-06,9.7548520202e-07,0.007856
0.017,0.008342,0.00010227150170729521,1.78640812e-05,2.9083959e-06,2.48718752e-06,1.2604746553000001e-06,0.008342
0.018,0.008827999999999999,0.00011496466127242105,1.59177401e-05,2.76714704e-06,2.273373087e-06,1.1366865435e-06,0.008827999999999999
0.019,0.009314,0.00012747739431483038,2.69007108e-05,4.50633605e-06,3.851510415e-06,1.957670084e-06,0.009314
0.02,0.0098,0.00014113224675483716,3.04216507e-05,5.15712393e-06,4.395862875000001e-06,2.2313217208000003e-06,0.0098
0.021,0.010293,0.000155531856617886,3.49364938e-05,5.93186543e-06,5.073997175e-06,2.5946925432999997e-06,0.010293
0.022,0.010785999999999999,0.00017045615181517567,3.95400843e-05,6.80236639e-06,5.8019249450000005e-06,2.9627681463e-06,0.010785999999999999
0.023,0.011278999999999999,0.00018616053410931113,4.55140608e-05,7.9071676e-06,6.742403240000001e-06,3.4468893209000002e-06,0.011278999999999999
0.024,0.011772,0.000202518220954011,4.93050137e-05,8.6250741e-06,7.3424984000000006e-06,3.7670185023e-06,0.011772
0.025,0.012265,0.0002195664596407614,5.90484177e-05,1.05189903e-05,8.933608279999999e-06,4.570353147999999e-06,0.012265
0.026,0.012757999999999999,0.00023728009803688,6.08489732e-05,1.07981278e-05,9.18504274e-06,4.709349469e-06,0.012757999999999999
0.027,0.013250999999999999,0.00025566044967765904,6.81453646e-05,1.21812195e-05,1.036251812e-05,5.332227853e-06,0.013250999999999999
0.028,0.013744,0.0002747406526022215,7.79399177e-05,1.41430173e-05,1.199816219e-05,6.1768463679999995e-06,0.013744
0.029,0.014237,0.0002945057193373538,8.42600415e-05,1.54218297e-05,1.3055150259999999e-05,6.72945086e-06,0.014237
0.03,0.014729999999999998,0.0003149437995561753,9.2966871e-05,1.7199316e-05,1.4528151459999999e-05,7.444439518999999e-06,0.014729999999999998
0.031,0.015208999999999999,0.00033596934479406643,0.000100381649,1.85267802e-05,1.570370265e-05,8.102998578e-06,0.015208999999999999
0.032,0.015688,0.0003577350423083754,0.000108333291,2.01243382e-05,1.704018958e-05,8.796543364e-06,0.015688
0.033,0.016167,0.00038017106459626774,0.000119474408,2.24131556e-05,1.894864481e-05,9.764726292e-06,0.016167
0.034,0.016646,0.0004032644646254039,0.000124540554,2.33584854e-05,1.976128238e-05,1.0202408960000001e-05,0.016646
0.035,0.017125,0.0004270439986739209,0.000140327894,2.67016001e-05,2.252995611e-05,1.1616701054e-05,0.017125
0.036,0.017603999999999998,0.0004514136522250152,0.000144371578,2.72817926e-05,2.310075424e-05,1.1995118543e-05,0.017603999999999998
0.037,0.018083,0.0004765200062142972,0.000165671541,3.17372877e-05,2.684316005e-05,1.3975015719e-05,0.018083
0.038,0.018562,0.0005022877275004151,0.000165342897,3.16178194e-05,2.6725034e-05,1.3900300684e-05,0.018562
0.039,0.019041,0.0005286799880688984,0.000177267355,3.40178195e-05,2.876828405e-05,1.4966258203999999e-05,0.019041
0.04,0.01952,0.0005557430788559832,0.000197220719,3.82972388e-05,3.23323346e-05,1.6827892998e-05,0.01952
0.041,0.019993,0.0005834482284758833,0.000209215295,4.07060338e-05,3.43946279e-05,1.7962426483e-05,0.019993
0.042,0.020466,0.0006118481359570905,0.000220343445,4.29836802e-05,3.63243182e-05,1.8983511853e-05,0.020466
0.043,0.020939,0.0006416330561653309,0.000200631112,3.89312196e-05,3.27773116e-05,1.7016850555e-05,0.020939
0.044,0.021412,0.0006706180438568335,0.000255946568,5.06095079e-05,4.2711103449999995e-05,2.2376097224999997e-05,0.021412
0.045,0.021884999999999998,0.0007010246493731159,0.000265466046,5.26090625e-05,4.4380582749999994e-05,2.3249886764999996e-05,0.021884999999999998
0.046,0.022358,0.000732080954155537,0.000290811707,5.82057291e-05,4.903873805e-05,2.5711445835e-05,0.022358
0.047,0.022831,0.0007637701417554115,0.000290991884,5.7929885e-05,4.8883417900000005e-05,2.5647039070000002e-05,0.022831
0.048,0.023304000000000002,0.0007960653363384237,0.000311598642,6.23300011e-05,5.2605526149999995e-05,2.7668233484999997e-05,0.023304000000000002
0.049,0.023777000000000003,0.0008290751761020733,0.00033935737,6.85358089e-05,5.776641715e-05,3.0421118944999997e-05,0.023777000000000003
0.05,0.02425,0.0008627309951735135,0.000351101282,7.09454135e-05,5.9826226749999995e-05,3.1524556485e-05,0.02425
0.051,0.024728999999999998,0.0008970640550116373,0.000371197443,7.53923083e-05,6.353650855e-05,3.3527663195e-05,0.024728999999999998
0.052,0.025207999999999998,0.0009320656642858613,0.000376173049,7.61681288e-05,6.427060429999999e-05,3.39225587e-05,0.025207999999999998
0.053,0.025686999999999998,0.000967648148713491,0.000415935127,8.52766438e-05,7.18252379e-05,3.7965295540000004e-05,0.025686999999999998
0.054,0.026166,0.0010039239298045698,0.000431359792,8.85824641e-05,7.462280805e-05,3.9469447455000004e-05,0.026166
0.055,0.026645,0.0010408690666892345,0.000442137382,9.07300141e-05,7.648841905e-05,4.0509246985e-05,0.026645
0.056,0.027124,0.0010784339963603824,0.00047063868,9.71796059e-05,8.187196215e-05,4.3399312405000004e-05,0.027124
0.057,0.027603,0.001116649588405885,0.000495412222,0.000102682902,8.65077304e-05,4.5922056119999996e-05,0.027603
0.058,0.028082000000000003,0.001155546683280481,0.000516668386,0.00010742024,9.04829706e-05,4.807598309e-05,0.028082000000000003
0.059,0.028561,0.0011950928504679077,0.000534446591,0.000111228137,9.373367709999999e-05,4.9849064769999995e-05,0.028561
0.06,0.02904,0.0012353182517342517,0.000564708269,0.000118065869,9.94822784e-05,5.298555672e-05,0.02904
0.061,0.029524,0.0012762204376842476,0.000619946475,0.000131310661,0.00011039461360000001,5.885810284e-05,0.029524
0.062,0.030008000000000003,0.0013177456214965584,0.000596991936,0.000125247295,0.0001054855864,5.6201021490000005e-05,0.030008000000000003
0.063,0.030492000000000002,0.0013597275694944909,0.000648250913,0.000137189767,0.00011547640759999999,6.165923037e-05,0.030492000000000002
0.064,0.030976000000000004,0.0014025057497342266,0.000672031404,0.000142505518,0.0001199727825,6.413242996e-05,0.030976000000000004
0.065,0.03146,0.0014459541004755653,0.000710732295,0.000151583268,0.0001275401182,6.825183301999999e-05,0.03146
0.066,0.031944,0.0014902764085830006,0.000760138435,0.000163703136,0.0001374677003,7.367934211000001e-05,0.031944
0.067,0.03242800000000001,0.001534773985250318,0.000756589582,0.000161870243,0.0001362392176,7.301717139e-05,0.03242800000000001
0.068,0.03291200000000001,0.0015801482572805991,0.000799331035,0.00017196865,0.0001446707565,7.764662046e-05,0.03291200000000001
0.069,0.03339600000000001,0.0016261424246846385,0.000812858188,0.000174621981,0.0001470381156,7.899936059e-05,0.03339600000000001
0.07,0.03388000000000001,0.0016728521019034092,0.000840093877,0.000180752334,0.0001522499582,8.188575631e-05,0.03388000000000001
0.071,0.034348,0.0017203259340177455,0.000911731761,0.000198352488,0.0001667904995,8.985561619e-05,0.034348
0.072,0.034816,0.0017681162259829655,0.000930863024,0.000202503719,0.0001703546327,9.181083145e-05,0.034816
0.073,0.035283999999999996,0.0018166938566007282,0.000951694823,0.000207008254,0.0001742437481,9.3993722e-05,0.035283999999999996
0.074,0.035752,0.0018660205469973453,0.000960363433,0.000208416615,0.00017558974129999998,9.47694339e-05,0.035752
0.075,0.036219999999999995,0.0019158486357533306,0.00101766598,0.000222316057,0.0001871609648,0.00010114978612,0.036219999999999995
0.076,0.036688,0.0019664226819109693,0.00103784253,0.000226618805,0.00019090348769999998,0.00010325959881,0.036688
0.077,0.037155999999999995,0.0020178103036272237,0.00108954032,0.000239700669,0.0002015631583,0.00010885940533,0.037155999999999995
0.078,0.037624,0.002069489701493953,0.00112483601,0.00024757804,0.0002083861439,0.00011285663983000001,0.037624
0.079,0.038091999999999994,0.002122022028539413,0.00116568882,0.000257419196,0.0002165988503,0.00011734875361000001,0.038091999999999994
0.08,0.03856,0.002175062285266309,0.00120536637,0.000266433511,0.0002243673569,0.0001218571553,0.03856
0.081,0.039050999999999995,0.002228807441527283,0.00123745604,0.000273897172,0.0002306940618,0.0001253985381,0.039050999999999995
0.082,0.039541999999999994,0.0022833447047867217,0.00132205729,0.000295299565,0.0002483740595,0.00013519956225000002,0.039541999999999994
0.083,0.040033,0.0023384137720620195,0.00131600287,0.000292821358,0.000246535104,0.0001340836498,0.040033
0.084,0.040524,0.0023939839182911004,0.00137100035,0.000305959952,0.000257677783,0.0001405033906,0.040524
0.085,0.041014999999999996,0.002450362627318756,0.00138900717,0.000309514877,0.0002609062555,0.00014236747115,0.041014999999999996
0.086,0.04150599999999999,0.0025073254339691067,0.00146005401,0.000327327678,0.000275712601,0.00015064015059999998,0.04150599999999999
0.087,0.04199699999999999,0.0025649554123008894,0.0015077672,0.000338887637,0.00028544712250000003,0.00015607698225,0.04199699999999999
0.088,0.04248799999999999,0.0026232405783592093,0.00157203506,0.000354844414,0.000298800149,0.0001635997862,0.04248799999999999
0.089,0.04297899999999999,0.0026822132957454205,0.00156503297,0.000351652578,0.000296541643,0.0001624186516,0.04297899999999999
0.09,0.043469999999999995,0.0027417320746567055,0.00163576863,0.000369451691,0.0003113643475,0.00017072280374999998,0.043469999999999995
0.091,0.043923,0.0028019756830930873,0.00165813685,0.000373948288,0.00031544909500000004,0.00017314364060000003,0.043923
0.092,0.04437599999999999,0.002862762861040833,0.00174980646,0.000397385749,0.0003348978645,0.00018404988285,0.04437599999999999
0.093,0.044828999999999994,0.0029243652347407047,0.00183142915,0.000418187568,0.00035219759399999996,0.00019377671979999998,0.044828999999999994
0.094,0.045281999999999996,0.0029864101337065494,0.00184801696,0.000421096226,0.000354997378,0.00019545894280000001,0.045281999999999996
0.095,0.045735,0.0030492283404351455,0.0018936433,0.000432116384,0.000364327411,0.0002007719222,0.045735
0.096,0.046188,0.003112646737204956,0.00193439886,0.00044161531,0.000372504631,0.0002054213593,0.046188
0.097,0.046640999999999995,0.0031767236417704764,0.00201298058,0.000461567737,0.0003891710515,0.00021484896135,0.046640999999999995
0.098,0.047094,0.003241458631602762,0.00203472935,0.000465772204,0.000393076617,0.0002171836127,0.047094
0.099,0.047547,0.0033068987612831424,0.00212570634,0.000489499948,0.000412690841,0.0002281247814,0.047547
0.1,0.048,0.0033729616254767735,0.00216303219,0.000498244422,0.000420191024,0.0002323457223,0.048
0.101,0.048469,0.0034395860923068624,0.00227927276,0.000528242879,0.0004452915735,0.00024684257545,0.048469
0.102,0.048937999999999995,0.003506755373355414,0.00227327391,0.000524757358,0.000442934898,0.0002456198156,0.048937999999999995
0.103,0.04940699999999999,0.0035753537505520804,0.00228032804,0.000526365833,0.0004440908635,0.00024646508315,0.04940699999999999
0.104,0.049876,0.0036432908428176277,0.00239165167,0.000553954736,0.000467714472,0.00025988395959999997,0.049876
0.105,0.050344999999999994,0.003712530465660271,0.00243809017,0.000564923869,0.00047719225350000005,0.00026534087325,0.050344999999999994
0.106,0.05081399999999999,0.0037823662119466674,0.00253142952,0.000589010851,0.0004973610075,0.00027686517165,0.05081399999999999
0.107,0.051282999999999995,0.0038528721914943354,0.00260298688,0.000606989667,0.0005125811075,0.00028565216015,0.051282999999999995
0.108,0.05175199999999999,0.003924059850383272,0.00268513799,0.000627982678,0.00053025731,0.0002958224395,0.05175199999999999
0.109,0.052221,0.003995906258849319,0.00274785716,0.000643640856,0.000543541847,0.0003034475896,0.052221
0.11,0.052689999999999994,0.004068305213694933,0.00279772583,0.000655441169,0.0005537924435,0.00030945854785,0.052689999999999994
0.111,0.053168999999999994,0.004141433375576972,0.00281177969,0.000657091311,0.0005557965165,0.00031080524405,0.053168999999999994
0.112,0.053647999999999994,0.004215295981105654,0.00294135371,0.000692016208,0.000584653842,0.00032713535629999997,0.053647999999999994
0.113,0.054126999999999995,0.004289751334424921,0.00293217632,0.000686412954,0.000581036624,0.00032554809360000003,0.054126999999999995
0.114,0.054605999999999995,0.004364563271255401,0.00305144002,0.000718123342,0.0006074407640000001,0.00034070679000000007,0.054605999999999995
0.115,0.055084999999999995,0.004440234766529189,0.00312445002,0.000736433231,0.0006230644025,0.00034980910195,0.055084999999999995
0.116,0.055563999999999995,0.004516829164670515,0.00323391659,0.000764987292,0.000647125095,0.00036376384269999997,0.055563999999999995
0.117,0.056042999999999996,0.004593683094225599,0.00327911981,0.000776058083,0.0006565626035,0.00036908842675000003,0.056042999999999996
0.118,0.05652199999999999,0.004671166743576565,0.00337751133,0.000801217488,0.000677997071,0.0003818052183,0.05652199999999999
0.119,0.05700099999999999,0.004749429670494388,0.00343242639,0.000814329835,0.0006894377885000001,0.00038855925355,0.05700099999999999
0.12,0.057479999999999996,0.004828340673732853,0.0035151599,0.000835413498,0.0007073942760000001,0.00039908862810000004,0.057479999999999996
0.121,0.057946,0.004907924260421143,0.00358610058,0.00085313817,0.0007225987929999999,0.0004080032799,0.057946
0.122,0.058412,0.004988146478326114,0.00363921818,0.00086557287,0.0007335639600000001,0.00041453197070000003,0.058412
0.123,0.05887799999999999,0.005069009884523837,0.00377581671,0.00090224234,0.0007642497339999999,0.0004323902163,0.05887799999999999
0.124,0.059343999999999994,0.00515054983163257,0.00382989029,0.000915105642,0.000775512023,0.0004391242341,0.059343999999999994
0.125,0.059809999999999995,0.0052326650948933354,0.00393040006,0.000941123643,0.0007976486175,0.00045210602195,0.059809999999999995
0.126,0.060275999999999996,0.005315505568622527,0.00400639297,0.000960268548,0.000814085532,0.0004617909696,0.060275999999999996
0.127,0.060742,0.00539894343817888,0.00408992494,0.000981409887,0.0008322490685,0.00047254426295,0.060742
0.128,0.06120799999999999,0.005483085890740943,0.00417830545,0.00100397227,0.0008515813709999999,0.00048399771479999996,0.06120799999999999
0.129,0.06167399999999999,0.0055678343274588385,0.00425268363,0.00102256525,0.000867634273,0.0004934962626000001,0.06167399999999999
0.13,0.062139999999999994,0.005653237594215508,0.00434146225,0.00104521401,0.000887074818,0.0005050227315,0.062139999999999994
0.131,0.06260399999999999,0.005739316136466182,0.00444774564,0.00107304949,0.000910735627,0.0005190255088999999,0.06260399999999999
0.132,0.063068,0.005826029086359767,0.00451336492,0.00108886764,0.000924642933,0.0005273470979,0.063068
0.133,0.063532,0.005913437420869679,0.00465756633,0.00112779872,0.000957421546,0.000546698302,0.063532
0.134,0.063996,0.0060014117880326494,0.00469380281,0.00113487941,0.0009642519809999999,0.0005509560141999999,0.063996
0.135,0.06446,0.006090106234688925,0.00480988385,0.00116559453,0.000990333431,0.0005663908945999999,0.06446
0.136,0.06492400000000001,0.006179427962374882,0.00490092797,0.0011887872,0.00101035276,0.0005783762708999999,0.06492400000000001
0.137,0.065388,0.006269416739200421,0.00497777522,0.00120775224,0.001026944117,0.0005883491125,0.065388
0.138,0.06585200000000001,0.006360071757345499,0.0050955849,0.00123889916,0.001053469919,0.0006041063089000001,0.06585200000000001
0.139,0.06631600000000001,0.006451345344522174,0.00521372758,0.00127004018,0.001080064058,0.0006200059165,0.06631600000000001
0.14,0.06678,0.006543628353199274,0.00518058706,0.0012561451,0.001069937663,0.0006144150954,0.06678
0.141,0.067257,0.006635915006959814,0.0054238202,0.00132462073,0.001126999005,0.0006481462291,0.067257
0.142,0.067734,0.006729201396086319,0.00549596758,0.00134211444,0.001142484332,0.0006575820356,0.067734
0.143,0.06821100000000001,0.00682310268955965,0.00560798813,0.00137127011,0.001167616656,0.0006726949017,0.06821100000000001
0.144,0.068688,0.006917685859129116,0.0057132306,0.00139857177,0.0011911738730000002,0.0006868751597000001,0.068688
0.145,0.069165,0.007012939316779565,0.00582093507,0.00142649821,0.0012153082940000001,0.0007014387023,0.069165
0.146,0.06964200000000001,0.007108893417463208,0.00599096751,0.00147322103,0.00125478932,0.0007250581412,0.06964200000000001
