Rate,Weight,Time,ell,p,p^+_x,p^+_y,i,p^-_x,p^-_y,N
0.01,0.0049504950495049506,3.5794890586421385e-05,1.31614123e-05,7.20535339e-07,3.5773583600000006e-07,1.8013165991000002e-07,4.81009551e-07,2.955758404e-07,1.477879202e-07,0.00456496781
0.011,0.00546448087431694,4.331559389441803e-05,1.72857699e-05,8.92015231e-07,5.136270195e-07,2.56813716979171e-07,2.38736992e-07,2.70765627e-07,1.4232195489e-07,0.00314362978
0.012,0.005917159763313609,5.149353765286903e-05,3.38559273e-05,1.16724121e-06,3.910214485e-07,1.96077432014e-07,8.43591341e-07,6.087944455e-07,3.0679017315e-07,0.0052921892
0.013,0.006329113924050633,6.040549759244987e-05,4.0716288e-05,2.22795361e-06,1.81325331035e-06,9.09692496185e-07,7.17620993e-08,4.52286309965e-06,4.044923039825e-06,0.00336036422
0.014,0.006802721088435374,6.997193831251014e-05,5.7340956e-05,2.05839055e-06,3.646115849999999e-07,1.8230617898270396e-07,1.53616202e-06,1.3871001790000001e-06,6.9568088956e-07,0.00642996995
0.015,0.007352941176470588,8.014617200471615e-05,2.21469092e-05,1.90085545e-06,1.585245471795436e-06,7.9262284924187e-07,8.94409128e-13,1.3842248430000001e-12,3.334320574215e-10,0.00383460287
0.016,0.007874015748031496,9.114234662974958e-05,2.76233942e-05,2.34653145e-06,1.92620919215e-06,9.63104724307884e-07,1.61069437e-08,8.197102054999999e-08,4.09855587688167e-08,0.00408635667
0.017,0.008333333333333333,0.00010281299421470146,6.59302696e-05,2.96796726e-06,4.11714503e-07,2.1032572482e-07,2.50164956e-06,2.112131263e-06,1.06017321773e-06,0.00798266945
0.018,0.008849557522123894,0.00011516590181336303,4.88914943e-05,4.39332074e-06,3.63434690255e-06,1.8171764835661599e-06,6.13099149e-08,5.116099355e-08,2.55934984992e-08,0.00470949554
0.019,0.009345794392523364,0.000128303274574265,6.94717651e-05,4.72814408e-06,2.48859646e-06,1.2716093501e-06,2.11490346e-06,1.539773399e-06,7.7208833105e-07,0.00707002269
0.02,0.009615384615384616,0.00014143055661957292,5.74328796e-05,5.28080231e-06,1.373026159e-06,6.975319945e-07,3.67853502e-06,3.07392537e-06,1.5376959382499999e-06,0.00878968854
0.021,0.010309278350515464,0.00015631045222501338,7.70408519e-05,6.99968046e-06,8.660042449999998e-07,4.606106425999999e-07,6.21788551e-06,5.187149335e-06,2.683223424e-06,0.0103087608
0.022,0.010869565217391304,0.00017131709544114017,8.78508771e-05,6.83588926e-06,2.1523827934099976e-07,1.0761915406314807e-07,6.40643973e-06,5.390030565e-06,2.6950152825e-06,0.0108681481
0.023,0.011235955056179775,0.00018682006698488295,8.64811759e-05,8.32600841e-06,2.134311852e-06,1.07212410357e-06,5.86648826e-06,4.80665576e-06,2.4244696332e-06,0.0101992297
0.024,0.011904761904761904,0.00020314042476215235,9.21672415e-05,9.14139548e-06,1.556647574e-06,7.821095340900001e-07,7.42802312e-06,6.05268184e-06,3.0416976504e-06,0.0110213072
0.025,0.012195121951219513,0.00022050747780257452,0.000104258895,1.03196122e-05,2.429674351e-06,1.2557458381e-06,7.39371054e-06,6.2813818e-06,3.172199526e-06,0.0112291651
0.026,0.012658227848101266,0.00023844608431525775,9.25531433e-05,9.05431514e-06,7.445311514999998e-07,3.795931076499999e-07,7.62671808e-06,6.82384643e-06,3.435754673e-06,0.0126458659
0.027,0.012987012987012988,0.00025673256362775457,0.000106843554,1.05427841e-05,3.33882284e-06,1.7011646274e-06,6.54012972e-06,5.5176301600000005e-06,2.7932939135000004e-06,0.0117940708
0.028,0.013888888888888888,0.00027592306283527433,0.000128785177,1.27970098e-05,3.01574186e-06,1.530111269e-06,9.2378689e-06,7.65664447e-06,3.8550043897e-06,0.0123778298
0.029,0.014492753623188406,0.00029553157356503,0.00015698378,1.65123402e-05,1.637264184e-06,8.234942775600001e-07,1.45388538e-05,1.197613515e-05,5.9924551420800005e-06,0.0138350947
0.03,0.014705882352941176,0.00031613704821913276,0.000145522744,1.49144011e-05,1.8029328489999998e-06,9.62659281e-07,1.31390895e-05,1.062939777e-05,5.3193369112200005e-06,0.014705753
0.031,0.015151515151515152,0.000337322460880976,0.000170015057,1.78265316e-05,2.4349853010000008e-06,1.2316608259000003e-06,1.44612175e-05,1.2288592909999999e-05,6.160732737599999e-06,0.0144718678
0.032,0.015625,0.0003592504768468003,0.000175035006,1.82901162e-05,2.6526055199999995e-06,1.4019756059999997e-06,1.54469841e-05,1.258446665e-05,6.3180690603e-06,0.0156097449
0.033,0.016129032258064516,0.0003817329622029181,0.000206176895,2.19434307e-05,2.6236722899999996e-06,1.3282576688999998e-06,1.945348e-05,1.5589571740000002e-05,7.883621163000001e-06,0.0161132855
0.034,0.01639344262295082,0.00040477531853099315,0.0002049875,2.16544745e-05,2.785192000000001e-06,1.3925960000000005e-06,1.8183652e-05,1.4951948079999998e-05,7.475974039999999e-06,0.016377447
