Rate,Weight,Time,ell,p,p_x,p_y,N
0.01,0.0049700000000000005,3.565549730732423e-05,8.77485857e-06,7.04327924e-07,5.94801225e-07,2.974006125e-07,1.0
0.011,0.005447,4.310087181056888e-05,1.16947519e-05,9.32661519e-07,7.882896425e-07,3.94245480203e-07,1.0
0.012,0.005924,5.1245556861153246e-05,1.34800881e-05,1.11449108e-06,9.38394911e-07,4.6919745550139583e-07,1.0
0.013,0.006401,6.00937935114572e-05,1.77117526e-05,1.3760637e-06,1.160545518e-06,5.802727590000224e-07,1.0
0.014,0.006878,6.961688531584627e-05,2.09139819e-05,1.82697988e-06,1.531356617e-06,7.65678308500014e-07,1.0
0.015,0.0073549999999999996,7.983764079119912e-05,2.47942618e-05,2.09306677e-06,1.7681553799999998e-06,8.840776900000461e-07,1.0
0.016,0.007832,9.075860213052056e-05,3.03241577e-05,2.57948111e-06,2.174388146e-06,1.087194073e-06,1.0
0.017,0.008309,0.000102345550996804,3.64540093e-05,3.26681292e-06,2.7551200499999998e-06,1.3775997526237999e-06,1.0
0.018,0.008786,0.00011464904366662192,4.19957614e-05,3.79594285e-06,3.192346155e-06,1.596173077500007e-06,1.0
0.019,0.009263,0.00012764220669743022,4.4517878e-05,4.09265052e-06,3.44283658e-06,1.72632741655e-06,1.0
0.02,0.00974,0.00014132339167029955,5.68542331e-05,5.25879152e-06,4.42465184e-06,2.2225190392e-06,1.0
0.021,0.010251000000000001,0.00015570731891383907,6.04778925e-05,5.77289761e-06,4.800301024999999e-06,2.4001643702193e-06,1.0
0.022,0.010761999999999999,0.00017074692238238412,7.06120917e-05,6.67191198e-06,5.58788174e-06,2.8027288679599997e-06,1.0
0.023,0.011273,0.00018649868727171288,8.30945467e-05,8.07422487e-06,6.733686555e-06,3.37563951777e-06,1.0
0.024,0.011784,0.00020293937093204405,8.9988614e-05,8.79176227e-06,7.318836725e-06,3.674239294e-06,1.0
0.025,0.012295,0.00022001644999500558,9.79848265e-05,9.74481091e-06,8.111172895e-06,4.0719385967000005e-06,1.0
0.026,0.012806,0.00023780291853068197,0.000105045062,1.04278176e-05,8.6516002e-06,4.32681993977e-06,1.0
0.027,0.013316999999999999,0.00025626113705531055,0.00011556856,1.16798012e-05,9.674363e-06,4.837181500000003e-06,1.0
0.028,0.013828,0.0002754047693745878,0.000126918662,1.29933217e-05,1.073575264e-05,5.369181728100001e-06,1.0
0.029,0.014339,0.00029524613818493733,0.000145402969,1.50474378e-05,1.245481688e-05,6.2575435915e-06,1.0
0.03,0.014849999999999999,0.00031572163156644447,0.000150617658,1.56194407e-05,1.289937951e-05,6.4632207277e-06,1.0
0.031,0.015324999999999998,0.0003369253945047073,0.000164850826,1.72678945e-05,1.4218451650000001e-05,7.1201568749000005e-06,1.0
0.032,0.0158,0.0003587974800117184,0.000182896141,1.93959132e-05,1.59397643e-05,7.984714304199999e-06,1.0
0.033,0.016275,0.00038135545699644643,0.000203930459,2.19384211e-05,1.799329896e-05,9.0137336962e-06,1.0
0.034,0.01675,0.0004045621750891974,0.000211946783,2.28188839e-05,1.869630607e-05,9.35365629089e-06,1.0
